Name,Code,Category,Price,52 Weeks low,52 Weeks hi,Volume,EPS,DPS,NTA,PE,DY,ROE,PTBV,Mcap,Book value
ANCOM [s],4758,"Industrial Products & Services, Main Market",0.7,0.38,0.815,823,4.92,,1.38,14.24,,3.56,0.51,177.06,2.395833333
KFIMA [s],6491,"Industrial Products & Services, Main Market",1.53,0.985,1.8,352,10.11,9,2.84,15.14,5.88,3.56,0.54,431.81,0.96875
MANULFE,1058,"Financial Services, Main Market",2.29,1.65,2.85,0,14.08,7,4.13,16.27,3.06,3.41,0.55,463.43,0.197916667
T7GLOBAL [s],7228,"Energy, Main Market",0.37,0.21,0.53,12301,1.34,0.5,0.4,27.65,1.35,3.35,0.92,196.79,0.395833333
MSC [s],5916,"Industrial Products & Services, Main Market",0.7,0.44,0.91,290,2.92,2,0.89,23.96,2.86,3.28,0.79,280,6.040816327
HEVEA [s],5095,"Industrial Products & Services, Main Market",0.395,0.23,0.635,18806,2.46,4,0.75,16.05,10.13,3.28,0.53,224.26,0.367346939
YNHPROP [s],3158,"Property, Main Market",2.91,2.34,3.38,67,7.16,0,2.2,40.62,0,3.26,1.32,1539.39,1.040816327
MALTON [s],6181,"Property, Main Market",0.38,0.235,0.585,6090,5.69,1.5,1.76,6.68,3.95,3.23,0.22,200.69,1.020408163
MKH [s],6114,"Property, Main Market",1.16,0.81,1.86,0,8.73,4,2.77,13.28,3.45,3.15,0.42,680.4,5.285714286
KEINHIN [s],7199,"Industrial Products & Services, Main Market",0.38,0.27,0.55,712,3.26,1,1.04,11.66,2.63,3.13,0.37,41.38,0.612244898
KPS [s],5843,"Industrial Products & Services, Main Market",0.52,0.265,1.06,1240,5.63,,1.8,9.24,,3.13,0.29,279.44,0.989795918
HIGHTEC [s],7033,"Industrial Products & Services, Main Market",0.92,0.895,1.28,0,8.13,3.5,2.604,11.31,3.8,3.12,0.35,37.36,0.663265306
JCBNEXT,58,"Industrial Products & Services, Main Market",1.21,1.15,1.56,50,7.46,4,2.39,16.22,3.31,3.12,0.51,166.72,0.19
