Name,Code,Category,Price,52 Weeks low,52 Weeks hi,Volume,EPS,DPS,NTA,PE,DY,ROE,PTBV,Mcap,Book value
PGLOBE [s],3611,"Property, Main Market",0.8,0.68,1.08,0,1.14,0,1.3,70.01,0,0.88,0.62,149.33,2.076923077
MUHIBAH [s],5703,"Construction, Main Market",0.94,0.72,2.84,19885,2.04,7.5,2.38,46.11,7.98,0.86,0.39,456.11,0.378787879
INSAS,3379,"Financial Services, Main Market",0.635,0.35,0.92,6336,2.24,2,2.62,28.35,3.15,0.85,0.24,440.28,4.606060606
SHH [s],7412,"Consumer Products & Services, Main Market",0.385,0.275,0.55,0,1.17,0,1.38,32.85,0,0.85,0.28,19.25,6.575757576
SASBADI [s],5252,"Telecommunications & Media, Main Market",0.115,0.085,0.21,29802,0.31,,0.39,36.57,,0.81,0.29,48.2,0.772727273
COASTAL,5071,"Energy, Main Market",0.605,0.53,1.51,1467,1.8,0,2.25,33.55,0,0.8,0.27,323.89,0.75
TITIJYA [s],5239,"Property, Main Market",0.265,0.24,0.35,2280,0.67,0.15,0.86,39.32,0.57,0.78,0.31,359.85,4.46969697
MRCB [s],1651,"Property, Main Market",0.47,0.28,1.01,91523,0.8,1,1.093,58.83,2.13,0.73,0.43,2073.66,0.636363636
BSLCORP [s],7221,"Industrial Products & Services, Main Market",0.205,0.08,0.39,30,0.8,0,1.13,25.72,0,0.71,0.18,20.09,0.805970149
MINHO [s],5576,"Industrial Products & Services, Main Market",0.25,0.155,0.4,1100,0.75,1.15,1.09,33.15,4.6,0.69,0.23,85.13,1.485074627
MKLAND [s],8893,"Property, Main Market",0.115,0.05,0.19,8950,0.69,1,1,16.76,8.7,0.69,0.12,138.84,2.656716418
KEN [s],7323,"Property, Main Market",0.5,0.34,0.66,0,1.22,1.5,1.79,40.83,3,0.68,0.28,95.86,3.208955224
PRTASCO [s],5070,"Construction, Main Market",0.25,0.11,0.435,58719,0.46,1.2,0.678,54.63,4.8,0.68,0.37,123.85,3.176470588
TAWIN,7097,"Industrial Products & Services, Main Market",0.09,0.03,0.235,394124,0.22,,0.332,40.66,,0.67,0.27,32.17,0.264705882
MFLOUR,3662,"Consumer Products & Services, Main Market",0.515,0.335,0.755,7433,0.65,3,1.04,78.74,5.83,0.63,0.5,519.07,0.110294118
TCHONG,4405,"Consumer Products & Services, Main Market",1.09,0.98,1.51,245,2.74,4,4.59,39.8,3.67,0.6,0.24,732.48,1.079710145
CHOOBEE [s],5797,"Industrial Products & Services, Main Market",0.93,0.7,1.54,0,2.28,5,3.86,40.87,5.38,0.59,0.24,122.47,1.086956522
SIGN [s],7246,"Consumer Products & Services, Main Market",0.36,0.155,0.54,640,0.43,1,0.75,83.11,2.78,0.58,0.48,94.58,0.5
EG [s],8907,"Industrial Products & Services, Main Market",0.35,0.195,0.52,12778,0.71,,1.37,49.26,,0.52,0.26,96.25,1.264285714
YTL,4677,"Utilities, Main Market",0.81,0.6,1.14,7303,0.59,4,1.21,137.76,4.94,0.49,0.67,8928.44,1.242857143
DNONCE [s],7114,"Industrial Products & Services, Main Market",0.3,0.185,0.45,1590,0.19,,0.47,157.67,,0.4,0.64,78.68,0.528571429
HUAYANG [s],5062,"Property, Main Market",0.27,0.145,0.465,1221,0.63,0,1.6,42.97,0,0.39,0.17,95.04,1.042857143
FACBIND,2984,"Industrial Products & Services, Main Market",1.29,1,1.44,310,0.92,1,2.7,140.13,0.78,0.34,0.48,109.86,1.028169014
LFECORP [s],7170,"Industrial Products & Services, Main Market",0.16,0.09,0.3,10407,0.05,,0.17,306.87,,0.31,0.94,35.9,0.809859155
SMCAP [s],9776,"Consumer Products & Services, Main Market",0.12,0.06,0.195,911,0.12,,0.435,96.09,,0.29,0.28,25.66,0.11971831
ENGTEX [s],5056,"Industrial Products & Services, Main Market",0.56,0.46,0.865,308090,0.33,0.62,1.58,170.27,1.11,0.21,0.35,248.26,0.090277778
CYL [s],7157,"Industrial Products & Services, Main Market",0.285,0.27,0.475,300,0.12,0.5,0.642,241.53,1.75,0.18,0.44,28.5,1.972222222
CNOUHUA,5188,"Consumer Products & Services, Main Market",0.035,0.02,0.045,1000,0.02,0,0.19,142.56,0,0.13,0.18,23.38,1.666666667
TNLOGIS [s],8397,"Transportation & Logistics, Main Market",0.4,0.26,0.6,1608,0.16,0,1.53,257.06,0,0.1,0.26,184.31,1.277777778
CAMRES [s],7128,"Consumer Products & Services, Main Market",0.205,0.165,0.305,5,0.05,0,0.58,395.53,0,0.09,0.35,40.34,6.424657534
KAMDAR [s],8672,"Consumer Products & Services, Main Market",0.195,0.12,0.38,0,0.09,0,1.12,206.46,0,0.08,0.17,38.61,17.34246575
GPA,7096,"Industrial Products & Services, Main Market",0.095,0.07,0.13,400,0.01,,0.11,"1,502.35",,0.06,0.86,93.15,0.678082192
MHB [s],5186,"Energy, Main Market",0.385,0.255,0.97,19131,0.08,0,1.492,484.28,0,0.05,0.26,616,0.369863014
CCM [s],2879,"Industrial Products & Services, Main Market",1.2,0.59,2.12,2464,6.58,9,191,18.25,7.5,0.03,0.01,201.23,0.547297297
IMPIANA [s],7243,"Consumer Products & Services, Main Market",0.105,0.055,0.4,33432,0,,0.531,"6,750.15",,0,0.2,87.75,0.256756757
ALLIANZ-PA,1163PA,"Financial Services, Main Market",15.2,12.6,16.832,0,,0,,,0,0,,0,1.033783784
TASEK-PA,4448P,"Industrial Products & Services, Main Market",6.13,5.6,8.04,1,,0,,,0,0,,0,0.72972973
CAP,5229,"Industrial Products & Services, Main Market",0.01,0.01,0.01,0,-0.08,,-0.002,-12.36,,0,-5,13.62,7.432432432
AMEDIA [s],159,"Telecommunications & Media, Main Market",0.055,0.03,0.09,1000,-1,,-1.77,-5.49,,0,-0.03,13.17,0.168918919
EKA [s],7182,"Consumer Products & Services, Main Market",0.045,0.02,0.065,3850,-0.9,,-0.11,-5.01,,0,-0.41,14.04,2.797297297
BJMEDIA,6025,"Telecommunications & Media, Main Market",0.105,0.075,0.27,0,-5.19,,-0.04,-2.02,,0,-2.62,24.68,0.418918919
DAYA,91,"Energy, Main Market",0.005,0.005,0.015,10901,-2.18,0,-0.098,-0.23,0,0,-0.05,10.22,0.27027027
SCOMI [s],7158,"Energy, Main Market",0.04,0.01,0.12,67230,-27.46,,-0.02,-0.15,,0,-2,43.76,1.84
BARAKAH [s],7251,"Energy, Main Market",0.04,0.01,0.08,88559,-29.53,0,-20.76,-0.14,0,0,0,33.43,0.913333333
KINSTEL,5060,"Industrial Products & Services, Main Market",0.005,0.005,0.005,0,-14.51,0,-0.72,-0.03,0,0,-0.01,5.25,1.333333333
LONBISC,7126,"Consumer Products & Services, Main Market",0.02,0.01,0.34,0,-155.44,,-0.25,-0.01,,0,-0.08,5.82,1.04
APFT [s],5194,"Consumer Products & Services, Main Market",0.005,0.005,0.02,0,3.96,,0,0.13,,0,,6.71,0.4
DOLPHIN [s],5265,"Industrial Products & Services, Main Market",0.08,0.025,0.18,25003,-0.09,,9.8,-93.03,,-0.01,0.01,19.54,1.153333333
ANZO,9342,"Industrial Products & Services, Main Market",0.175,0.01,0.185,3677997,-0.24,,16.1,-72.63,,-0.01,0.01,155.14,0.723684211
KUCHAI,2186,"Financial Services, Main Market",1.27,0.88,2.15,0,-0.22,1.4,3.295,-588.61,1.1,-0.07,0.39,157.16,1.776315789
ADVPKG [s],9148,"Industrial Products & Services, Main Market",1.99,1.68,2.4,284,-0.12,6,1.53,"-1,700.12",3.02,-0.08,1.3,40.8,1.376623377
MERIDIAN [s],5040,"Property, Main Market",0.08,0.04,0.25,32127,-0.02,0,0.24,-331.92,0,-0.1,0.33,47.13,2.337662338
KRETAM [s],1996,"Plantation, Main Market",0.415,0.29,0.475,10513,-0.03,0,0.26,"-1,465.80",0,-0.11,1.6,965.96,1.116883117
ATTA [s],7099,"Industrial Products & Services, Main Market",0.445,0.375,0.59,0,-0.22,0,1.63,-205.92,0,-0.13,0.27,94.93,0.298701299
ULICORP [s],7133,"Industrial Products & Services, Main Market",0.345,0.23,0.64,400,-0.29,,1.31,-118.33,,-0.22,0.26,75.14,1.371794872
STAR [s],6084,"Telecommunications & Media, Main Market",0.36,0.225,0.66,17106,-0.25,2,1.09,-144.27,5.56,-0.23,0.33,265.88,0.58974359
LTKM [s],7085,"Consumer Products & Services, Main Market",1.05,0.975,1.36,0,-0.97,2,1.85,-107.91,1.9,-0.26,0.57,136.61,5.641025641
PERDANA [s],7108,"Energy, Main Market",0.175,0.1,0.555,99170,-0.17,,0.42,-101.4,,-0.41,0.42,386.65,1.064102564
XINHWA [s],5267,"Transportation & Logistics, Main Market",0.355,0.245,0.69,910,-0.36,0.5,0.83,-99.33,1.41,-0.43,0.43,76.68,1.949367089
KAREX,5247,"Consumer Products & Services, Main Market",0.49,0.26,0.645,9895,-0.22,0.5,0.47,-222.75,1.02,-0.47,1.04,491.16,0.772151899
NSOP,2038,"Plantation, Main Market",2.73,2.11,3.65,0,-3.66,8,7.77,-74.69,2.93,-0.47,0.35,191.65,0.360759494
CHEETAH [s],7209,"Consumer Products & Services, Main Market",0.295,0.18,0.35,0,-0.54,0.4,1.07,-54.8,1.36,-0.5,0.28,37.65,7.025316456
MASTEEL [s],5098,"Industrial Products & Services, Main Market",0.305,0.17,0.535,4843,-0.84,,1.66,-36.36,,-0.51,0.18,138.09,0.360759494
SCABLE [s],5170,"Industrial Products & Services, Main Market",0.245,0.1,0.41,81051,-25.1,0,49,-0.98,0,-0.51,0,77.68,0.120253165
TURIYA [s],4359,"Technology, Main Market",0.1,0.06,0.165,0,-0.31,,0.54,-32.44,,-0.57,0.19,22.87,0.23125
MPHBCAP,5237,"Financial Services, Main Market",0.77,0.49,1.19,750,-1.11,,1.9,-69.42,,-0.58,0.41,550.55,0.1625
NTPM [s],5066,"Consumer Products & Services, Main Market",0.51,0.295,0.615,3803,-0.23,1.6,0.4,-217.64,3.14,-0.59,1.27,572.83,0.05
PELIKAN [s],5231,"Consumer Products & Services, Main Market",0.295,0.185,0.59,19422,-0.42,0,0.69,-70.6,0,-0.61,0.43,179.4,0.3
MBG [s],5886,"Consumer Products & Services, Main Market",1.36,0.76,1.36,158,-1.24,1.5,1.77,-109.96,1.1,-0.7,0.77,82.69,0.1
MISC [s],3816,"Transportation & Logistics, Main Market",7.69,6.52,9.373,28266,-5.4,33,7.71,-142.43,4.29,-0.7,1,34326.57,0.537037037
LIENHOE,3573,"Property, Main Market",0.2,0.175,0.3,207,-0.97,,1.38,-20.66,,-0.7,0.14,72.35,0.271604938
EKSONS,9016,"Industrial Products & Services, Main Market",0.565,0.385,0.795,0,-1.96,0,2.68,-28.89,0,-0.73,0.21,92.78,0.170731707
ICAP,5108,"Closed-End Fund, Main Market",2.03,1.85,2.47,151,-2.26,0,3.02,-89.94,0,-0.75,0.67,284.2,0.908536585
CEPAT [s],8982,"Plantation, Main Market",0.46,0.285,0.74,10,-0.88,1.5,1.11,-52.33,3.26,-0.79,0.41,146.48,0.402439024
SUMATEC [s],1201,"Energy, Main Market",0.005,0.005,0.045,0,-0.1,,0.12,-4.92,,-0.85,0.04,21.26,0.572289157
BORNOIL [s],7036,"Industrial Products & Services, Main Market",0.03,0.01,0.05,43061,-0.12,,0.13,-25.24,,-0.91,0.23,160.21,0.427710843
GOPENG [s],2135,"Plantation, Main Market",0.7,0.53,0.71,0,-1.03,2.5,1.06,-67.88,3.57,-0.97,0.66,188.29,6.024096386
INCKEN [s],2607,"Plantation, Main Market",0.5,0.45,0.63,0,-1.72,1.06,1.68,-29.05,2.12,-1.02,0.3,210.38,0.427710843
FITTERS [s],9318,"Industrial Products & Services, Main Market",0.22,0.155,0.422,8677,-0.89,,0.835,-24.74,,-1.07,0.26,105.71,1.845238095
SJC [s],9431,"Telecommunications & Media, Main Market",0.44,0.36,0.59,0,-1.41,0,1.3,-31.13,0,-1.09,0.34,17.84,3.964285714
ALCOM,2674,"Industrial Products & Services, Main Market",0.41,0.18,0.6,0,-0.98,,0.89,-41.95,,-1.1,0.46,55.08,14.26190476
METROD,6149,"Industrial Products & Services, Main Market",1.37,1.08,1.65,0,-3.77,6,3.412,-36.35,4.38,-1.1,0.4,171.6,0.417647059
IWCITY [s],1589,"Property, Main Market",0.575,0.275,1.14,244940,-1.14,,0.95,-50.61,,-1.2,0.61,481.5,1.411764706
LEBTECH [s],9628,"Construction, Main Market",0.875,0.72,1.11,0,-1.15,,0.94,-75.82,,-1.23,0.93,119.42,1.211764706
NYLEX [s],4944,"Industrial Products & Services, Main Market",0.63,0.33,0.985,2979,-2.26,2,1.84,-27.83,3.17,-1.23,0.34,122.43,1
PAOS [s],5022,"Consumer Products & Services, Main Market",0.315,0.23,0.46,10,-0.65,1.6,0.52,-48.16,5.08,-1.26,0.61,57.07,0.988235294
BLDPLNT [s],5069,"Plantation, Main Market",6,4.72,6.78,660,-7.91,0,5.99,-75.83,0,-1.32,1,561,2.127906977
UNISEM [s],5005,"Technology, Main Market",2.07,1.53,2.93,2578,-2.51,6,1.888,-82.41,2.9,-1.33,1.1,1519.03,0.48255814
APB [s],5568,"Industrial Products & Services, Main Market",0.335,0.33,0.6,290,-1.94,0,1.4,-17.23,0,-1.39,0.24,37.81,0.25862069
PEB [s],5622,"Construction, Main Market",0.76,0.65,0.88,0,-1.46,0,1.03,-52.07,0,-1.42,0.74,52.54,1.920454545
MUH [s],9539,"Property, Main Market",0.3,0.24,0.54,0,-1.75,,1.14,-17.13,,-1.54,0.26,16.93,1.017045455
AMPROP,1007,"Property, Main Market",0.39,0.26,0.58,200,-2.28,3,1.43,-17.13,7.69,-1.59,0.27,285.92,0.550561798
XIANLNG [s],7121,"Consumer Products & Services, Main Market",0.325,0.2,0.73,0,-0.99,0,0.61,-32.93,0,-1.62,0.53,25.98,1.191011236
WCEHB,3565,"Construction, Main Market",0.285,0.145,0.63,5711,-1.64,,0.97,-17.37,,-1.69,0.29,375.99,1.382022472
TIENWAH,7374,"Industrial Products & Services, Main Market",1.02,0.76,1.34,50,-3.55,5.5,2.09,-28.73,5.39,-1.7,0.49,147.64,1.522222222
GREENYB [s],136,"Consumer Products & Services, Main Market",0.105,0.07,0.165,3020,-0.28,0.2,0.162,-37.72,1.9,-1.72,0.65,35.04,0.05
ABLEGRP [s],7086,"Industrial Products & Services, Main Market",0.08,0.04,0.095,0,-0.29,,0.17,-27.24,,-1.73,0.47,21.11,0.159340659
GRANFLO [s],56,"Technology, Main Market",0.265,0.165,0.3,16820,-0.36,0.5,0.198,-73.42,1.89,-1.82,1.34,133.47,0.659340659
BOXPAK,6297,"Industrial Products & Services, Main Market",1.07,0.815,1.37,225,-3.68,,2,-29.08,,-1.84,0.54,128.45,2.086956522
TAS [s],5149,"Transportation & Logistics, Main Market",0.225,0.14,0.46,4813,-1.69,0,0.891,-13.34,0,-1.89,0.25,40.5,3.130434783
P&O,6009,"Financial Services, Main Market",0.8,0.75,1,120,-1.95,4.2,1.01,-41.06,5.25,-1.93,0.79,229.65,1.706521739
AEM [s],7146,"Industrial Products & Services, Main Market",0.1,0.04,0.14,122672,-0.33,,0.17,-29.93,,-1.97,0.59,38.93,0.630434783
HUBLINE [s],7013,"Transportation & Logistics, Main Market",0.055,0.03,0.06,757673,-0.1,,0.05,-53.79,,-2.05,1.1,212.03,0.35326087
TASEK [s],4448,"Industrial Products & Services, Main Market",5.79,4.1,6,89,-8.67,0,4.222,-66.8,0,-2.05,1.37,715.77,0.301075269
AISB [s],2682,"Industrial Products & Services, Main Market",0.19,0.16,0.33,120,-2.02,0,0.974,-9.4,0,-2.07,0.2,27.43,1.35106383
WCT [s],9679,"Construction, Main Market",0.495,0.245,1.22,47519,-4.79,,2.26,-10.33,,-2.12,0.22,701.98,0.39893617
JCY [s],5161,"Technology, Main Market",0.29,0.13,0.365,41071,-0.92,0.5,0.436,-31.35,1.72,-2.12,0.67,605.31,0.742105263
SUBUR,6904,"Industrial Products & Services, Main Market",0.55,0.38,0.905,0,-6.68,0,3.01,-8.23,0,-2.22,0.18,114.95,3.326315789
QUALITY [s],7544,"Industrial Products & Services, Main Market",0.83,0.72,1.43,0,-3.89,0,1.72,-21.35,0,-2.26,0.48,48.11,0.705263158
NPC [s],5047,"Plantation, Main Market",1.85,1.7,2,0,-9.99,0,4.37,-18.51,0,-2.29,0.42,222,1.452631579
PPG [s],7190,"Telecommunications & Media, Main Market",0.29,0.23,0.35,0,-2.45,1,1.046,-11.85,3.45,-2.34,0.28,29.01,8.442105263
KSSC [s],5192,"Industrial Products & Services, Main Market",0.39,0.2,0.59,341,-1.91,0.5,0.8,-20.38,1.28,-2.39,0.49,37.44,1.863157895
CAELY [s],7154,"Consumer Products & Services, Main Market",0.33,0.185,0.575,4296,-1.28,,0.52,-25.69,,-2.47,0.63,55.07,1.354166667
CHUAN [s],7016,"Industrial Products & Services, Main Market",0.27,0.18,0.5,100,-4.59,1.1,1.79,-5.89,4.07,-2.56,0.15,45.54,1.166666667
KLUANG,2453,"Plantation, Main Market",3.16,2.62,3.65,3,-25.56,6,9.763,-12.36,1.9,-2.62,0.32,199.62,0.329896907
MALPAC,4936,"Plantation, Main Market",0.5,0.42,0.85,0,-5.89,0,2.18,-8.49,0,-2.7,0.23,37.5,1.979381443
AYS,5021,"Industrial Products & Services, Main Market",0.165,0.115,0.325,788,-1.9,1,0.69,-8.67,6.06,-2.76,0.24,62.77,1.103092784
TIGER [s],7079,"Property, Main Market",0.08,0.03,0.135,580,-0.64,,0.23,-12.53,,-2.78,0.35,117.49,0.403061224
MYCRON [s],5087,"Industrial Products & Services, Main Market",0.29,0.14,0.505,1065,-3.38,,1.19,-8.59,,-2.84,0.24,94.85,0.806122449
CJCEN [s],7117,"Transportation & Logistics, Main Market",0.375,0.205,0.47,576,-2.35,0.75,0.8,-15.93,2,-2.94,0.47,147.84,7.744897959
BPURI [s],5932,"Construction, Main Market",0.065,0.03,0.181,15997,-1.08,,0.361,-6.04,,-2.98,0.18,49.66,3.333333333
SALCON [s],8567,"Utilities, Main Market",0.155,0.1,0.27,8258,-1.55,,0.5,-9.99,,-3.1,0.31,131.3,0.429292929
DUTALND,3948,"Plantation, Main Market",0.365,0.275,0.46,1735,-4.5,5,1.44,-8.11,13.7,-3.13,0.25,308.83,1.25
GCE,5592,"Consumer Products & Services, Main Market",0.335,0.3,0.5,0,-3.67,0,1.07,-9.13,0,-3.43,0.31,66,0.06
CAB,7174,"Consumer Products & Services, Main Market",0.37,0.195,0.53,14856,-2.3,0.25,0.65,-16.08,0.68,-3.54,0.57,255.49,0.1
ACOSTEC [s],7120,"Consumer Products & Services, Main Market",0.385,0.22,0.78,25726,-1.81,0,0.51,-21.25,0,-3.55,0.75,74.9,0.410891089
GUOCO,1503,"Property, Main Market",0.53,0.37,0.75,364,-6.66,2,1.86,-7.95,3.77,-3.58,0.29,371.24,1.039215686
EVERGRN [s],5101,"Industrial Products & Services, Main Market",0.165,0.09,0.34,2870,-4.97,0.48,1.38,-3.32,2.91,-3.6,0.12,139.66,0.568627451
DIGISTA,29,"Technology, Main Market",0.06,0.015,0.075,12516,-0.33,,0.09,-18.34,,-3.64,0.67,47.31,7.281553398
SAPIND [s],7811,"Industrial Products & Services, Main Market",0.36,0.2,0.81,0,-5.17,5,1.41,-6.96,13.89,-3.67,0.26,26.2,0.912621359
SBAGAN,2569,"Plantation, Main Market",2.49,2.35,3.15,0,-31.11,2,8.133,-8,0.8,-3.82,0.31,165.17,0.111650485
PMCORP [s],4081,"Consumer Products & Services, Main Market",0.125,0.075,0.15,2160,-1.52,0.5,0.396,-8.23,4,-3.83,0.32,96.67,2.990384615
YILAI [s],5048,"Industrial Products & Services, Main Market",0.99,0.395,1.03,45940,-5.12,0,1.33,-19.34,0,-3.85,0.74,144.11,0.942307692
MJPERAK,8141,"Property, Main Market",0.34,0.18,0.445,1810,-2.74,0,0.69,-12.43,0,-3.96,0.49,96.14,0.389423077
JADEM [s],7043,"Industrial Products & Services, Main Market",0.8,0.8,1.25,0,-2.98,0,0.72,-26.87,0,-4.14,1.11,101.43,0.230769231
FARLIM,6041,"Property, Main Market",0.245,0.165,0.36,210,-4.36,,1.04,-5.62,,-4.19,0.24,41.26,12.7047619
CHHB [s],5738,"Property, Main Market",0.97,0.8,1.5,0,-12.62,,3,-7.69,,-4.21,0.32,267.44,1.485714286
BJASSET,3239,"Property, Main Market",0.285,0.245,0.31,1505,-3.56,,0.84,-8.01,,-4.24,0.34,729.07,1.301886792
CFM [s],8044,"Industrial Products & Services, Main Market",1.06,1.06,1.14,0,-4.63,,1.09,-22.87,,-4.25,0.97,43.46,7.349056604
WASEONG [s],5142,"Energy, Main Market",0.5,0.46,1.453,13770,-5.23,0.4,1.22,-9.57,0.8,-4.28,0.41,387.44,0.588785047
SEEHUP [s],7053,"Transportation & Logistics, Main Market",0.82,0.795,1,0,-4.22,1.8,0.983,-19.44,2.2,-4.29,0.83,65.95,0.440366972
PUNCAK [s],6807,"Construction, Main Market",0.22,0.09,0.4,12075,-12.73,0,2.92,-1.73,0,-4.36,0.08,98.84,0.550458716
SMI [s],4375,"Property, Main Market",0.125,0.07,0.3,4130,-3.66,,0.81,-3.42,,-4.52,0.15,26.24,0.440366972
PLS [s],9695,"Plantation, Main Market",0.635,0.35,0.99,226,-2.5,,0.551,-25.36,,-4.54,1.15,222.69,15.01818182
HWATAI [s],8478,"Consumer Products & Services, Main Market",0.27,0.15,0.35,0,-1.38,,0.302,-19.6,,-4.56,0.89,20.2,2.618181818
SALUTE [s],183,"Consumer Products & Services, Main Market",0.48,0.255,1.03,9598,-1.73,2.4,0.372,-27.72,5,-4.65,1.29,186.24,1.045454545
MERCURY [s],8192,"Construction, Main Market",0.57,0.42,0.83,60,-7.96,0,1.671,-7.16,0,-4.76,0.34,22.9,0.377272727
HENGYUAN [s],4324,"Energy, Main Market",3.5,2.2,5.38,2486,-36.9,0,7.442,-9.48,0,-4.96,0.47,1050,0.441441441
PASDEC [s],6912,"Property, Main Market",0.215,0.15,0.405,1089,-4.09,,0.82,-5.26,,-4.98,0.26,86.08,0.700892857
AASIA [s],7054,"Plantation, Main Market",0.105,0.05,0.235,20361,-1.45,,0.283,-7.27,,-5.1,0.37,69.3,0.669642857
PERMAJU [s],7080,"Consumer Products & Services, Main Market",0.255,0.255,1.07,1007085,-3.55,,0.68,-7.19,,-5.21,0.38,49.96,0.25
EUROSP [s],7094,"Consumer Products & Services, Main Market",0.395,0.32,0.5,0,-5.14,0,0.964,-7.69,0,-5.33,0.41,17.55,0.867256637
IJMPLNT,2216,"Plantation, Main Market",1.66,1.01,2.48,331,-7.2,2,1.35,-23.05,1.2,-5.34,1.23,1461.76,1.946902655
BPLANT [s],5254,"Plantation, Main Market",0.365,0.2,0.775,52013,-6.13,7,1.14,-5.95,19.18,-5.38,0.32,817.6,0.76754386
OLYMPIA,3018,"Consumer Products & Services, Main Market",0.09,0.05,0.125,2600,-2.22,,0.41,-4.05,,-5.42,0.22,92.11,0.719298246
TANCO,2429,"Property, Main Market",0.05,0.02,0.08,8382,-0.96,,0.173,-5.21,,-5.53,0.29,61.85,1.313043478
GLBHD,7382,"Plantation, Main Market",0.33,0.3,0.52,58,-10.41,0,1.82,-3.17,0,-5.72,0.18,73.56,1.732758621
LANDMRK,1643,"Consumer Products & Services, Main Market",0.255,0.2,0.63,602,-19.21,0,3.34,-1.33,0,-5.75,0.08,134.87,0.05982906
EFFICEN,64,"Industrial Products & Services, Main Market",0.145,0.05,0.205,17953,-1.04,0,0.18,-13.99,0,-5.76,0.81,102.82,0.897435897
KIALIM [s],6211,"Industrial Products & Services, Main Market",0.16,0.11,0.245,0,-5.21,,0.894,-3.07,,-5.83,0.18,9.91,1.101694915
SNC [s],7943,"Consumer Products & Services, Main Market",0.205,0.14,0.4,0,-2.11,,0.36,-9.73,,-5.85,0.57,13.53,10.20338983
WARISAN,5016,"Consumer Products & Services, Main Market",1.33,1.3,2.25,0,-28.23,3,4.82,-4.71,2.26,-5.86,0.28,89.38,1.294117647
FLBHD [s],5197,"Industrial Products & Services, Main Market",0.7,0.61,1.38,225,-9.86,,1.68,-7.1,,-5.87,0.42,74.82,0.066115702
MITRA [s],9571,"Construction, Main Market",0.195,0.15,0.385,3457,-5.12,1.5,0.85,-3.81,7.69,-6.03,0.23,174.75,0.340163934
BIG [s],7005,"Industrial Products & Services, Main Market",0.27,0.17,0.42,0,-3.5,,0.57,-7.72,,-6.14,0.47,14.28,2.196721311
JASKITA,8648,"Industrial Products & Services, Main Market",0.07,0.065,0.115,0,-0.87,0,0.14,-8.04,0,-6.22,0.5,31.47,0.209016393
TEKSENG [s],7200,"Consumer Products & Services, Main Market",0.61,0.115,0.685,65072,-3.36,0,0.54,-18.16,0,-6.22,1.13,220.01,4.195121951
RALCO [s],7498,"Industrial Products & Services, Main Market",0.32,0.18,0.36,0,-5.5,,0.88,-5.81,,-6.26,0.36,14.78,0.056910569
CNASIA,7986,"Industrial Products & Services, Main Market",0.63,0.32,0.69,13573,-5.17,0,0.82,-12.19,0,-6.3,0.77,31.45,1.266129032
MAA,1198,"Financial Services, Main Market",0.715,0.53,0.985,642,-11.42,6,1.79,-6.26,8.39,-6.38,0.4,195.41,0.02
YLI [s],7014,"Industrial Products & Services, Main Market",0.195,0.15,0.3,8998,-7.61,0,1.18,-2.56,0,-6.45,0.17,20.08,3.792
MIECO [s],5001,"Industrial Products & Services, Main Market",0.27,0.18,0.36,5462,-3.95,0,0.6,-6.83,0,-6.59,0.45,141.75,0.04
HOOVER [s],7010,"Property, Main Market",0.54,0.345,0.68,2910,-7.15,,1.06,-7.56,,-6.74,0.51,21.6,0.448412698
TEXCHEM,8702,"Industrial Products & Services, Main Market",0.48,0.195,0.67,3910,-13.08,0,1.907,-3.67,0,-6.86,0.25,59.57,0.350393701
SAPRES [s],4596,"Property, Main Market",0.47,0.345,0.7,70,-20.58,0,2.99,-2.28,0,-6.88,0.16,65.61,0.200787402
EASTLND [s],2097,"Consumer Products & Services, Main Market",0.06,0.035,0.115,1870,-4,,0.58,-1.5,,-6.89,0.1,19.46,1.535433071
DWL [s],7165,"Industrial Products & Services, Main Market",0.22,0.1,0.675,50196,-3.25,,0.468,-6.78,,-6.93,0.47,51.23,0.708661417
MCEMENT [s],3794,"Industrial Products & Services, Main Market",2.45,1.3,3.85,140,-19.47,0,2.77,-12.58,0,-7.03,0.88,2081.75,1.4453125
NIHSIN [s],7215,"Consumer Products & Services, Main Market",0.205,0.055,0.265,249226,-1.91,,0.27,-10.71,,-7.09,0.76,65.91,0.341085271
KWANTAS [s],6572,"Plantation, Main Market",0.47,0.46,0.9,0,-25.47,0,3.564,-1.85,0,-7.15,0.13,146.49,3.736434109
AZRB [s],7078,"Construction, Main Market",0.205,0.115,0.455,13549,-5.13,,0.714,-4,,-7.18,0.29,122.57,1.369230769
ANNJOO [s],6556,"Industrial Products & Services, Main Market",0.73,0.415,1.61,3526,-16.05,12,2.23,-4.55,16.44,-7.2,0.33,408.74,4.230769231
AIRASIA [s],5099,"Consumer Products & Services, Main Market",0.85,0.5,2.15,268119,-9.63,64,1.33,-8.82,75.29,-7.24,0.64,2840.68,0.05
PHB [s],4464,"Property, Main Market",0.015,0.005,0.02,72131,-0.14,,0.019,-10.73,,-7.24,0.78,150.05,1.621212121
MAGNA [s],7617,"Property, Main Market",0.76,0.7,1.25,30,-10.91,0,1.46,-6.96,0,-7.48,0.52,254.53,0.109848485
KIMHIN [s],5371,"Industrial Products & Services, Main Market",0.73,0.69,1.22,70,-21.8,0,2.89,-3.35,0,-7.54,0.25,113.6,0.582706767
ARMADA,5210,"Energy, Main Market",0.225,0.11,0.555,224846,-3.87,0,0.51,-5.82,0,-7.58,0.44,1324.33,1.888059701
